,sex,Age,County,rate
747,Females,12,Monterey,0.10963963963963969
748,Females,12,Napa,0.08675675675675677
749,Females,12,Nevada,0.1620720720720721
750,Females,12,Orange,0.20093093093093098
751,Females,12,Placer,0.0858858858858859
752,Females,12,Plumas,0.5299999999999998
753,Females,12,Riverside,0.14837837837837844
754,Females,12,Sacramento,0.1218618618618619
755,Females,12,San Benito,0.14639639639639643
756,Females,12,San Bernardino,0.07621621621621621
757,Females,12,San Diego,0.20381381381381383
758,Females,12,San Francisco,0.2673873873873875
759,Females,12,San Joaquin,0.21363363363363366
760,Females,12,San Luis Obispo,0.2054954954954955
761,Females,12,San Mateo,0.0789189189189189
762,Females,12,Santa Barbara,0.14531531531531533
763,Females,12,Santa Clara,0.07816816816816818
764,Females,12,Santa Cruz,0.29789789789789795
765,Females,12,Shasta,0.28891891891891897
766,Females,12,Sierra,0.21468468468468474
767,Females,12,Siskiyou,0.32960960960960967
768,Females,12,Solano,0.10495495495495498
769,Females,12,Sonoma,0.16438438438438444
770,Females,12,Stanislaus,0.09939939939939942
771,Females,12,Sutter,0.14033033033033038
772,Females,12,Tehama,0.0676876876876877
773,Females,12,Trinity,0.19990990990990995
774,Females,12,Tulare,0.08864864864864865
775,Females,12,Tuolumne,0.39096096096096095
777,Females,12,Ventura,0.22876876876876887
778,Females,12,Yolo,0.10837837837837837
779,Females,12,Yuba,0.1176576576576577
780,Females,13,Alameda,0.07288288288288289
781,Females,13,Alpine,0.0014414414414414508
782,Females,13,Amador,0.2729129129129129
783,Females,13,Butte,0.19288288288288288
784,Females,13,Calaveras,0.29945945945945945
785,Females,13,California,0.13498498498498496
786,Females,13,Colusa,0.09552552552552551
787,Females,13,Contra Costa,0.11534534534534538
788,Females,13,Del Norte,0.21936936936936943
789,Females,13,El Dorado,0.10825825825825829
790,Females,13,Fresno,0.1671771771771772
791,Females,13,Glenn,0.10273273273273274
792,Females,13,Humboldt,0.46678678678678676
793,Females,13,Imperial,0.16900900900900903
794,Females,13,Inyo,0.21798798798798802
795,Females,13,Kern,0.18870870870870873
796,Females,13,Kings,0.13075075075075074
797,Females,13,Lake,0.6127327327327327
798,Females,13,Lassen,0.4357657657657657
799,Females,13,Los Angeles,0.08204204204204203
800,Females,13,Madera,0.20051051051051055
801,Females,13,Marin,0.11978978978978984
802,Females,13,Mariposa,0.19153153153153157
803,Females,13,Mendocino,0.3414714714714714
804,Females,13,Merced,0.16309309309309308
805,Females,13,Modoc,0.41213213213213207
806,Females,13,Mono,0.05453453453453455
807,Females,13,Monterey,0.10963963963963969
808,Females,13,Napa,0.08675675675675677
809,Females,13,Nevada,0.1620720720720721
810,Females,13,Orange,0.20093093093093098
811,Females,13,Placer,0.0858858858858859
812,Females,13,Plumas,0.5299999999999998
813,Females,13,Riverside,0.14837837837837844
814,Females,13,Sacramento,0.1218618618618619
815,Females,13,San Benito,0.14639639639639643
816,Females,13,San Bernardino,0.07621621621621621
817,Females,13,San Diego,0.20381381381381383
818,Females,13,San Francisco,0.2673873873873875
819,Females,13,San Joaquin,0.21363363363363366
820,Females,13,San Luis Obispo,0.2054954954954955
821,Females,13,San Mateo,0.0789189189189189
822,Females,13,Santa Barbara,0.14531531531531533
823,Females,13,Santa Clara,0.07816816816816818
824,Females,13,Santa Cruz,0.29789789789789795
825,Females,13,Shasta,0.28891891891891897
826,Females,13,Sierra,0.21468468468468474
827,Females,13,Siskiyou,0.32960960960960967
828,Females,13,Solano,0.10495495495495498
829,Females,13,Sonoma,0.16438438438438444
830,Females,13,Stanislaus,0.09939939939939942
831,Females,13,Sutter,0.14033033033033038
832,Females,13,Tehama,0.0676876876876877
833,Females,13,Trinity,0.19990990990990995
834,Females,13,Tulare,0.08864864864864865
835,Females,13,Tuolumne,0.39096096096096095
837,Females,13,Ventura,0.22876876876876887
838,Females,13,Yolo,0.10837837837837837
839,Females,13,Yuba,0.1176576576576577
840,Females,14,Alameda,0.07288288288288289
841,Females,14,Alpine,0.0014414414414414508
842,Females,14,Amador,0.2729129129129129
843,Females,14,Butte,0.19288288288288288
844,Females,14,Calaveras,0.29945945945945945
845,Females,14,California,0.13498498498498496
846,Females,14,Colusa,0.09552552552552551
847,Females,14,Contra Costa,0.11534534534534538
848,Females,14,Del Norte,0.21936936936936943
849,Females,14,El Dorado,0.10825825825825829
850,Females,14,Fresno,0.1671771771771772
851,Females,14,Glenn,0.10273273273273274
852,Females,14,Humboldt,0.46678678678678676
853,Females,14,Imperial,0.16900900900900903
854,Females,14,Inyo,0.21798798798798802
855,Females,14,Kern,0.18870870870870873
856,Females,14,Kings,0.13075075075075074
857,Females,14,Lake,0.6127327327327327
858,Females,14,Lassen,0.4357657657657657
859,Females,14,Los Angeles,0.08204204204204203
860,Females,14,Madera,0.20051051051051055
